name,date,county,county_state,city,city_state,state,race,denomination
Cedar Grove Primitive Baptist Church,1904,Suwannee,,O'Brien,,Florida,White,Suwannee Association
The Church of God,1924,Orange,,Zellwood,,Florida,White,Conventional Holiness
Church of God in Christ,1917,St. Lucie,,Ft. Pierce,,Florida,African-American,Churches of Christ
New Mt. Zion Baptist Church,1929,Duval,,Jacksonville,,Florida,African-American,Baptist
St. Luke Methodist Church,1910,Hillsborough,,Plant City,,Florida,African-American,Methodist
Mount Olive,1880,Baker,,Olustee,,Florida,African-American,Methodist
Liberty Hill Church,1937,Walton,,DeFuniak Springs,,Florida,White,General Council of The Assemblies of God
Plymouth Congregational Church of Coconut Grove,1897,Dade,,Miami,,Florida,White,Congregational
Evergreen Church of Christ,1890,Suwannee,,McAlpin,,Florida,White,Churches of Christ
Pilgrims Rest Primitive Baptist Church,1878,Volusia,,Ormond,,Florida,White,Southern Baptist Convention
First Baptist Church of Hawthorne,1852,Alachua,,Hawthorne,,Florida,White,Baptist
Sumter County Incorporations,1939,Sumter,,null,,Florida,null,null
Howey Community Church,1927,Lake,,Howey-in-the-Hills,,Florida,White,Presbyterian Church of the United States
First Presbyterian Church of Milton,1868,Santa Rosa,,Milton,,Florida,White,Presbyterian
The National Spiritual Alliance,1939,Dade,,Miami,,Florida,White,Spiritualist
Mount Olive,1933,Baker,,Glen Saint Mary,,Florida,White,Congregational Holiness Church
Perrine-Peters Methodist Church,1896,Dade,,Perrine,,Florida,White,Methodist
Barberville Baptist Church,1894,Volusia,,Barberville,,Florida,White,Southern Baptist Convention
Marietta Methodist Church,1910,Duval,,Marietta,,Florida,White,Methodist
First Baptist Church,1890,DeSoto,,Arcadia,,Florida,White,Baptist
Heavenly Church of the First Born,1939,St. Lucie,,Ft. Pierce,,Florida,African-American,Churches of Christ
New Prospect Baptist Church,1934,Washington,,Chipley,,Florida,White,Southern Baptist Convention
Shiloh Community Sunday School,1925,Brevard,,Shiloh,,Florida,White,Nondenominational
Beulah Baptist Church,1938,Collier,,Ochopee,,Florida,African-American,Baptist
Church of God,1934,Brevard,,Cocoa,,Florida,White,Church of God
Pedro Baptist Church,1914,Marion,,Pedro,,Florida,White,Southern Baptist Convention
Bay Lake Landmark Baptist Church,1883,Lake,,Mascottee,,Florida,White,American Baptist Association
Fort Union African Methodist Episcopal Church,1870,Suwannee,,Live Oak,,Florida,African-American,African Methodist Episcopal Church
Saint Joseph's African Methodist Episcopal Church,1884,Lake,,Leesburg,,Florida,African-American,African Methodist Episcopal Church
Saint Stephens African Methodist Episcopal Church,1880,Lake,,Leesburg,,Florida,African-American,African Methodist Episcopal Church
Mt. Zion African Methodist Episcopal Church,1868,Gadsden,,Havana,,Florida,African-American,African Methodist Episcopal
Blue Spring Assembly,1932,Madison,,Lee,,Florida,White,General Council of The Assemblies of God
Monticello Church,1884,Jackson,,Marianna,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Ballast Point Baptist Church,1924,Hillsborough,,Tampa,,Florida,White,Baptist
Damascus Baptist Church,1870,Madison,,Madison,,Florida,African-American,National Baptist Convention of the United States of America Inc.
First Christian Church,1923,Lee,,Fort Myers,,Florida,White,Disciples of Christ
Gonzalez Baptist Church,1901,Escambia,,Gonzalez,,Florida,White,General Baptist
Mount Zion Church,1867,Jefferson,,Lloyd,,Florida,African-American,African Methodist Episcopal Church
Vernon Baptist Church,1892,Washington,,Vernon,,Florida,White,Southern Baptist Convention
Flat Creek Church,1876,Gadsden,,Greensboro,,Florida,African-American,Baptist
Macedonia Second Baptist,1934,Indian River,,Vero Beach,,Florida,African-American,Baptist
New Hope Missionary Baptist Church,1929,Orange,,Winter Park,,Florida,African-American,National Baptist Convention of America Inc.
Mount Olive Baptist Church,1882,Suwannee,,Wellborn,,Florida,African-American,National Baptist Convention of the United States of America Inc.
First Congregational Church,1883,Volusia,,Orange City,,Florida,White,Congregational and Christian Churches
Saint Luke's African Methodist Episcopal Church,1898,Bay,,Lynn Haven,,Florida,African-American,Methodist
New Pine Grove Baptist Church,1925,Hendry,,Sears,,Florida,African-American,Baptist
Triumph the Church and Kingdom of God in Christ,1926,St. Lucie,,Ft. Pierce,,Florida,African-American,Churches of Christ
Church of God,1923,Martin,,Jensen,,Florida,African-American,Church of God
Santa Rosa Prayer House,1924,Leon,,Tallahassee,,Florida,African-American,"Primitive Baptist Convention of the United States of America, Inc."
Bethel Church,1867,Jefferson,,Monticello,,Florida,African-American,African Methodist Episcopal Church
Children's Home Holiness Church,1931,Walton,,Laurel Hill,,Florida,White,General Council of The Assemblies of God
Saint Mary Wesleyan Methodist Church,1923,Dade,,Miami,,Florida,White,Methodist
Saint Agnes Episcopal Church,1898,Dade,,Miami,,Florida,White,Episcopal
Baptist Church of Antioch,1872,Alachua,,La Crosse,,Florida,White,Baptist
Sweet Home Missionary Baptist Church,1895,Hamilton,,White Springs,,Florida,African-American,Baptist
"First Methodist Episcopal Church, South",1882,Suwannee,,Branford,,Florida,White,"Methodist Episcopal Church, South"
Oak Grove Church,1905,Jefferson,,Ashville,,Florida,African-American,Primitive Baptist - Independent
Ridgewood Avenue Baptist Church,1925,Volusia,,Holly Hill,,Florida,White,Southern Baptist Convention
Macedonia Baptist Church,1860,Madison,,Madison,,Florida,White,Southern Baptist Convention
Bethany,1919,Holmes,,Bonifay,,Florida,White,Independent
Simpson Memorial Tabernacle Methodist Episcopal Church,1884,Duval,,Jacksonville,,Florida,African-American,Methodist
Saint John's Missionary Baptist Church,1923,Bay,,Panama City,,Florida,African-American,Baptist
Darlington Baptist Church,1907,Walton,,Darlington,,Florida,White,Southern Baptist Convention
Assembly of God Church,1931,Leon,,Tallahassee,,Florida,White,General Council of The Assemblies of God
First Gastsimmy Baptist Church,1927,Duval,,Jacksonville,,Florida,African-American,Baptist
O'Brien Baptist Church,1884,Suwannee,,O'Brien,,Florida,White,Southern Baptist Convention
Pleasant Grove Baptist Church,1902,Santa Rosa,,Holt,,Florida,African-American,National Baptist Convention of America Inc.
The Church of God in Christ,1938,Levy,,Gulf Hammock,,Florida,African-American,Churches of God
Church of Jesus Christ of Latter Day Saints,1934,Volusia,,New Smyrna Beach,,Florida,White,The Church of Jesus Christ of Latter-Day Saints
Isaiah Chapel,1867,Santa Rosa,,Milton,,Florida,African-American,African Methodist Episcopal
New Hope Primitive Baptist,1894,Franklin,,Apalachicola,,Florida,African-American,Primitive Baptist
Temple Israel,1923,Marion,,Daytona Beach,,Florida,Jewish,American Jewish Committee
Spring Hill Baptist Church,1879,Hamilton,,Jasper,,Florida,African-American,Baptist
First Assembly of God Church,1929,Duval,,Jacksonville,,Florida,White,Pentecostal
Cedar Key Methodist Episcopal Church,1872,Levy,,Cedar Key,,Florida,White,Methodist Episcopal
Augustana Synod Luteran Church,1936,Orange,,Orlando,,Florida,Swedish,The Evangelical Lutheran Augustana Synod of North American
Hutto Chapel,1824,Duval,,Duval,,Florida,White,Methodist
Church of God in Christ,1926,Seminole,,Sanford,,Florida,African-American,Churches of Christ
Wesley Chapel Methodist Episcopal Church,1886,Alachua,,Windsor,,Florida,White,Methodist
First Baptist Church,1896,Dade,,Miami,,Florida,White,Baptist
Saint Mary's Church,1868,Leon,,Tallahassee,,Florida,White,Christian Methodist Episcopal Church
Pleasant Grove Baptist Church,1921,Sumter,,Oxford,,Florida,White,Southern Baptist Convention
Bethel African Methodist Episcopal Church,1894,Alachua,,Newberry,,Florida,African-American,Methodist
Church of Our Savior,1881,Duval,,Jacksonville,,Florida,White,Episcopal
Mount Mariah Baptist Church,1934,Citrus,,Crystal River,,Florida,African-American,Baptist
Macedonia Primitive Baptist Church,1908,Hardee,,Bowling Green,,Florida,African-American,Primitive Baptist
St. Paul African Methodist Episcopal Church,1870,Duval,,Jacksonville,,Florida,African-American,Methodist
First Baptist Church,1933,Palm Beach,,Belle Glade,,Florida,White,Southern Baptist Convention
The Salvation Army,1926,Pinellas,,Clearwater,,Florida,White,The Salvation Army
Bethel Baptist Church,1916,Escambia,,"Dixonville, AL",,Florida,White,Southern Baptist Convention
Mt. Zion Baptist Church,1940,Orange,,Tildenville,,Florida,African-American,National Baptist Convention of America Inc.
Bronson Methodist Church,1867,Levy,,Bronson,,Florida,White,Methodist
The Congregational Church,1897,Orange,,Apopka,,Florida,White,Congregational and Christian Churches
The First Congregational Church,1912,Palm Beach,,Lake Worth,,Florida,White,Congregational and Christian Churches
Hines Chapel Baptist Church,1923,Dixie,,Hines,,Florida,African-American,Baptist
African Methodist Episcopal Church,1935,Palm Beach,,South Bay,,Florida,African-American,African Methodist Episcopal Church
Saint Johns Methodist Episcopal Church,1903,St. Johns,,Hastings,,Florida,White,"Methodist Episcopal Church, South"
Bethel African Methodist Episcopal Church,1894,Pinellas,,St. Petersburg,,Florida,African-American,African Methodist Episcopal Church
Union African Methodist Episcopal Church,1899,Columbia,,Winfield,,Florida,African-American,Methodist
First Presbyterian Church,1882,Volusia,,DeLand,,Florida,White,Presbyterian Church of the United States
Peaceful Baptist Church,1911,Polk,,Fort Meade,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Antioch Church,1898,Jackson,,Cypress,,Florida,African-American,Churches of Christ
Bethel Methodist Episcocal Church,1870,Orange,,McDonald,,Florida,White,"Methodist Episcopal Church, South"
Dinsmore Baptist Church,1885,Duval,,Dinsmore,,Florida,White,Baptist
Archer Presbyterian Church,1866,Alachua,,Archer,,Florida,White,Presbyterian
Midway Church,1915,Jackson,,Cypress,,Florida,White,Free Will Baptist
Bethel African Methodist Episcopal Church,1933,Martin,,Jensen,,Florida,African-American,African Methodist Episcopal Church
Church of Jesus Christ of Latter Day Saints,1938,Palm Beach,,West Palm Beach,,Florida,White,Church of Jesus Christ of Latter Day Saints
Orlando Company of jehovah's Witnesses,1915,Orange,,Orlando,,Florida,White,Jehovah's Witnesses
Providence Baptist Church,1835,Union,,Providence,,Florida,White,Southern Baptist Convention
Frances Avenue Advent Christian Church,1897,Hillsborough,,Tampa,,Florida,White,Adventist
Leon County Incorporations,1939,Leon,,null,,Florida,null,null
Mount Zion Missionary Baptist Church,1908,Liberty,,Sumatra,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Sandy Hill Baptist Church,1904,St. Johns,,Moultrie,,Florida,African-American,National Baptist Convention of the United States of America Inc.
The Glorious Holy Church of God In America,1933,Escambia,,Pensacola,,Florida,African-American,Holiness
First Methodist Church,1885,Lake,,Tavares,,Florida,White,"Methodist Episcopal Church, South"
Gethsemane Baptist Church,1904,Manatee,,Bradenton,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Mount Olive African Methodist Episcopal Church,1911,Marion,,Ft. McCoy,,Florida,African-American,African Methodist Episcopal Church
"Linden M.E. Church, South",1898,Sumter,,Linden,,Florida,White,"Methodist Episcopal Church, South"
Church of God By Faith,1931,Nassau,,Callahan,,Florida,African-American,"Church of God by Faith- Ocala, Florida"
Methodist Episcopal Church,1901,Walton,,DeFuniak Springs,,Florida,White,"Methodist Episcopal Church, South"
The Church of St. Mary,1939,Seminole,,Sanford,,Florida,White,unknown
Antioch Baptist Church,1934,Pinellas,,St. Petersburg,,Florida,White,Independent Fundamental Missionary Baptist
Dunnellon Presbyterian Church,1893,Marion,,Dunnellon,,Florida,White,Presbyterian Church
Followers of Jesus,1918,Marion,,Ocala,,Florida,White,Followers of Jesus
Free Church of God in Christ,1914,Okaloosa,,Baker,,Florida,White,Pentecostal
Saint Peter's Chapel (Jensen Mission),1890,Martin,,Jensen,,Florida,African-American,African Methodist Episcopal Church
First Baptist Church,1892,Sumter,,Webster,,Florida,White,Southern Baptist Convention
Fellowship Missionary Baptist Church,1899,Duval,,Jacksonville,,Florida,African-American,Baptist
Emmanual Tabernacle Baptist Church of the Apostolic Faith,1927,Hillsborough,,Tampa,,Florida,White,Baptist
Gethsemane Baptist Church,1924,Duval,,Jacksonville,,Florida,African-American,Baptist
"Methodist Epsicopal Church, South",1907,Orange,,Pine Castle,,Florida,White,"Methodist Episcopal Church, South"
Largo Methodist Church,1894,Pinellas,,Largo,,Florida,White,Southern Methodist Church
Landmark Community Church,1937,Sumter,,Cumpresco,,Florida,White,Southern Baptist Convention
National Grove Baptist Church,1913,Suwannee,,Rixford,,Florida,African-American,National Baptist Convention of the United States of America Inc.
West Sanford Free Will Holiness Church,1932,Seminole,,Sanford,,Florida,African-American,Freewill Holiness Church
Seminole Heights Baptist Church,1921,Hillsborough,,Tampa,,Florida,White,Baptist
First Nazarene Church,1920,Escambia,,Pensacola,,Florida,White,Church of The Nazarene
Callaway Union Church,1913,Bay,,Panama City,,Florida,White,Interdenominational
Church of Christ,1926,Hillsborough,,Tampa,,Florida,African-American,Churches of Christ
First Baptist Church,1919,Pinellas,,Safety Harbor,,Florida,White,Southern Baptist Convention
St. James Church,1917,Gadsden,,Havana,,Florida,African-American,Primitive Baptist
Newnanville Baptist Church,1832,Alachua,,Alachua,,Florida,White,Baptist
First Christian Church,1911,Union,,Lake Butler,,Florida,White,Disciples of Christ
Methodist Episcopal Church,1881,Lake,,Fort Mason,,Florida,White,"Methodist Episcopal Church, South"
Oak Grove Union Church,1900,Liberty,,Rock Bluff,,Florida,White,Southern Baptist Convention
Hogan Baptist Church,1934,Duval,,Hogan,,Florida,White,Baptist
The Second Advent Christian Church,1902,Lafayette,,Branford,,Florida,White,Advent Christian Church
Mt. Carmel Baptist Church,1910,Osceola,,Kissimmee,,Florida,White,Southern Baptist Convention
First Presbyterian Church,1883,Polk,,Auburndale,,Florida,White,Presbyterian Church of the United States
The Orlando Church of God,1919,Orange,,Orlando,,Florida,White,Community Church
Presbyterian Church of Laural Hill,1898,Okaloosa,,Laurel Hill,,Florida,White,Presbyterian
Church of God,1936,Lake,,Eustis,,Florida,White,Church of God
Church of God in Unity,1937,Duval,,Jacksonville,,Florida,African-American,Church of God
Floyd Chapel,1885,Leon,,Tallahassee,,Florida,African-American,African Methodist Episcopal Church
Ebnezer Pentecostal Holiness Church,1930,Hillsborough,,Tampa,,Florida,White,Pentecostal Holiness
Mount Carmel Baptist Church,1893,Alachua,,Gainesville,,Florida,White,Baptist
Pleasant Row Baptist Church,1937,St. Johns,,St. Augustine,,Florida,African-American,National Baptist Convention of the United States of America Inc.
